date,number_of_checks-no_verification,count-nombre
2021-09-26,0,<20
2021-09-26,1-6,<20
2021-09-26,7-12,<20
2021-09-26,13-30,<20
2021-09-26,30+,<20
2021-09-27,0,<20
2021-09-27,1-6,<20
2021-09-27,7-12,<20
2021-09-27,13-30,<20
2021-09-27,30+,<20
2021-09-28,0,<20
2021-09-28,1-6,<20
2021-09-28,7-12,<20
2021-09-28,13-30,<20
2021-09-28,30+,<20
2021-09-29,0,<20
2021-09-29,1-6,<20
2021-09-29,7-12,<20
2021-09-29,13-30,<20
2021-09-29,30+,<20
2021-09-30,0,<20
2021-09-30,1-6,<20
2021-09-30,7-12,<20
2021-09-30,13-30,<20
2021-09-30,30+,<20
2021-10-01,0,<20
